location	total_cases_per_million_w40_w52	people_fully_vaccinated_per_hundred
Albania	51959.043000000005	43.74
Andorra	377761.469	67.64
Austria	427447.876	74.25
Belarus	58952.297	66.04
Belgium	272162.492	78.82
Bosnia and Herzegovi	53099.06	
Bulgaria	108967.671	29.94
Croatia	194218.41900000002	55.3
Cyprus	476949.39800000004	72.0
Czechia	215619.53299999997	65.46
Denmark	491543.56499999994	81.85
Estonia	337945.859	63.81
Faeroe Islands	640599.002	
Finland	189560.426	78.29
France	375604.81799999997	78.49
Germany	294513.283	75.95
Gibraltar	467768.59500000003	
Greece	311460.346	73.04
Hungary	115343.943	63.84
Iceland	505860.909	
Ireland	266283.581	81.08
Isle of Man	413502.961	79.64
Italy	240753.60499999998	80.94
Kosovo	68138.701	46.22
Latvia	372639.906	69.68
Liechtenstein	378339.609	67.7
Lithuania	316495.31999999995	67.34
Luxembourg	301088.186	72.32
Malta	137646.46399999998	89.19
Moldova	86070.38499999998	34.74
Monaco	284195.606	
Montenegro	222900.365	45.18
Netherlands	371694.149	68.45
North Macedonia	75275.397	39.82
Norway	243523.206	74.91
Poland	81836.807	58.78
Portugal	416830.619	86.34
Romania	95125.452	41.98
Russia	87445.038	51.46
San Marino	382978.723	
Serbia	191042.86099999998	47.71
Slovakia	326022.988	50.82
Slovenia	368667.695	57.67
Spain	187688.10799999998	85.42
Sweden	136489.229	73.11
Switzerland	351675.436	69.07
Ukraine	68589.512	
United Kingdom	267046.64499999996	74.58
Vatican	3913.895000000004	
