location	excess_mortality_cumulative_per_million_delta_q1	people_fully_vaccinated_per_hundred	excess_mortality_cumulative_per_million_2022_q1	excess_mortality_cumulative_per_million_2021_q1
Albania	-790.3070510000002	0.4039608695652174	557.7225239999998	1348.029575
Armenia	196.04949699999997	0.2866090909090909	626.051168	430.001671
Austria	34.921760900000095	0.7213916666666667	53.52163500000006	18.599874099999965
Azerbaijan	-23.651752999999417	0.46530972222222206	373.4101090000004	397.0618619999998
Belgium	135.1577420000001	0.7728966666666666	-25.936326000000008	-161.0940680000001
Brazil	-348.3088059999999	0.7132011627906976	433.21982000000025	781.5286260000001
Bulgaria	555.196684999999	0.29024647887323957	1320.596723999999	765.4000390000001
Chile	124.27935660000014	0.8883666666666667	522.507331	398.2279743999999
Colombia	-161.24967200000015	0.6214421052631578	332.8200539999998	494.06972599999995
Croatia	472.65117999999984	0.5406986486486485	698.7113319999999	226.06015200000002
Cyprus	462.05099322	0.7048818181818182	342.2971972	-119.75379601999998
Czechia	-1420.833111	0.6344444444444446	20.588270000000193	1441.421381
Denmark	233.9290132	0.8184911111111112	116.06140540000001	-117.8676078
Estonia	-75.00822458999971	0.6303044444444446	451.6340330000003	526.64225759
Faeroe Islands	894.9503599999999	0.831372727272727	474.996432	-419.9539279999999
Finland	357.70924065	0.7556511111111113	257.1029535	-100.60628715
France	-54.64388440000016	0.7687788888888888	75.10011599999984	129.7440004
Germany	-134.0433471999999	0.7512244444444446	-50.869797399999925	83.17354979999999
Greece	663.6648251000004	0.7141611111111112	553.7981010000003	-109.86672410000006
Greenland	-362.24238539999993	0.6743285714285716	-508.1944146999999	-145.9520293
Hong Kong	629.9915264000001	0.6731089887640449	626.8668574000001	-3.1246690000000115
Hungary	-495.2895749999998	0.6354806451612902	135.64231100000006	630.9318859999998
Iceland	440.0854683	0.7787352941176471	421.3757349	-18.709733400000005
Iran	38.503442999999834	0.6454015384615387	110.44027899999992	71.93683600000008
Ireland	-197.47520719000002	0.7921477272727272	-27.694693700000016	169.78051349
Israel	102.64772320000009	0.6557199999999999	264.90151720000006	162.25379399999997
Italy	-155.91343800000004	0.7731055555555555	157.48547800000006	313.3989160000001
Japan	257.10984006	0.7952133333333333	179.98141006	-77.12842999999998
Kazakhstan	98.74725799999965	0.46710389610389624	212.6090519999998	113.86179400000015
Kosovo	-551.0867709999998	0.453648780487805	-27.88821199999984	523.1985589999999
Kyrgyzstan	21.815393999999742	0.1763431034482759	115.57934399999976	93.76395000000002
Latvia	-213.71939139999995	0.6914088888888889	519.568448	733.2878393999999
Lithuania	-216.07056299999954	0.6925033707865169	672.8597980000004	888.930361
Macao	35.3893051	0.7351897435897438	94.16896639999999	58.77966129999999
Malta	-24.99515600000001	0.8819588888888892	119.5504747	144.5456307
Mexico	-977.0315590000009	0.5945338028169015	332.0425529999993	1309.0741120000002
Mongolia	146.72833359999996	0.6519593220338986	-53.10454330000002	-199.83287689999997
Netherlands	-157.58371799999998	0.7181307692307692	-31.75315999999998	125.830558
New Zealand	62.169595999999956	0.7700455555555554	79.76513269999998	17.595536700000025
Norway	289.42688929999997	0.7321133333333334	114.1497163	-175.277173
Oman	47.72775300000001	0.5729	40.05072580000001	-7.677027199999998
Peru	-1188.0514090000001	0.7236655555555557	384.57808699999987	1572.629496
Poland	-212.2999190000005	0.5790189873417723	413.64129399999956	625.9412130000001
Portugal	-937.5169345999999	0.8552249999999999	-109.36353499999996	828.1533996
Qatar	37.22883700000003	0.8826666666666667	64.83482140000001	27.605984399999983
Romania	-110.18533699999966	0.4184277777777777	452.60368000000017	562.7890169999998
Russia	54.51983900000096	0.48420476190476186	910.447255000001	855.927416
San Marino	-488.0917380000001	0.6542727272727272	111.73184300000003	599.8235810000001
Serbia	333.4911339999999	0.47305357142857135	1055.9194310000003	722.4282970000004
Slovakia	-1521.1028267000002	0.5022153846153847	317.4370140000001	1838.5398407000002
Slovenia	-140.8557089999997	0.5830044444444442	117.0430110000002	257.8987199999999
South Africa	-992.1788747000003	0.28370500000000004	278.4700889999999	1270.6489637000002
South Korea	411.17092579	0.8590355555555553	336.4065511	-74.76437469000001
Spain	-120.63695600000028	0.8250020833333335	35.284897999999885	155.92185400000017
Sweden	-28.03105770000002	0.7402153846153847	80.13654080000003	108.16759850000005
Switzerland	-16.338719000000083	0.6816955056179772	28.902548999999908	45.24126799999999
Taiwan	34.47913330000003	0.7388200000000001	-2.091803900000002	-36.57093720000003
Thailand	153.0460449099999	0.6997099999999999	214.38912179999988	61.34307689
United Kingdom	-559.1762760000001	0.7132788888888887	-54.39461900000015	504.781657
United States	-73.78458299999988	0.6485555555555554	413.7992260000001	487.583809
Uzbekistan	1.6914317000001802	0.3873	81.25645700000018	79.5650253
