location	excess_mortality_cumulative_per_million_delta_q4	people_fully_vaccinated_per_hundred	excess_mortality_cumulative_per_million_2021	excess_mortality_cumulative_per_million_2020
Albania	-538.1954475807668		841.7179092871602	1379.913356867927
Armenia	-978.8661405438047	4.85	1588.9139551933094	2567.780095737114
Aruba	516.815149960355	69.51	612.90172116237	96.08657120201497
Australia	64.92112269723805	41.51	2.978104302442034	-61.94301839479601
Austria	-214.04230774674102		507.85839148466994	721.900699231411
Azerbaijan	-772.4967486176813	35.57	673.2924178233598	1445.789166441041
Belgium	-426.38046672318	72.56	350.2392555096899	776.6197222328699
Bolivia	550.8861029925201	27.54	657.4023555945801	106.51625260205992
Bosnia and Herzegovi	-436.6838988937766		1358.2827300726003	1794.966628966377
Brazil	-136.18174400028488	40.71	161.2806441109501	297.462388111235
Bulgaria	408.02388984224854	18.98	2836.9840161643606	2428.960126322112
Chile	41.832441008555065	73.43	195.34818259202007	153.515741583465
Colombia	-295.6237468141859	32.54	114.3119840753202	409.9357308895061
Croatia	144.89213571840673		1457.86380384241	1312.9716681240034
Cyprus	152.67771943236798		203.45868605643898	50.780966624071
Czechia	-666.4893166176644	55.58	743.7326292294001	1410.2219458470645
Denmark	210.87843019337305	74.55	271.32600370667103	60.447573513297996
Ecuador	-156.59245165350035	55.16	69.06681922672988	225.65927088023022
Estonia	690.6189914185728	53.33	848.4079240077601	157.7889325891873
Faeroe Islands	472.9578211322498	73.39	444.41726296047	-28.54055817177982
Finland	240.3052000401562	61.37	277.793748460131	37.4885484199748
France	-258.0433686333871	65.56	165.62842988934995	423.67179852273705
Georgia	522.1905872520922	19.54	1715.8516327438801	1193.661045491788
Germany	97.04713099882781	63.61	478.5050610740949	381.4579300752671
Greece	284.5407375187168	58.39	724.1040592350798	439.563321716363
Greenland	-332.348596750369		-167.05352746711696	165.29506928325202
Guatemala	119.3159314905771	12.6	286.3582355773801	167.04230408680303
Hungary	-204.22118706328502	58.44	1153.37483426166	1357.596021324945
Iceland	-119.037289312132		-7.592355582549999	111.444933729582
Iran	-422.6369995281599		251.1456123786802	673.7826119068401
Ireland	209.31569221482113	74.46	196.07040392510095	-13.245288289720193
Israel	-50.55429986008002	60.81	75.44935959530699	126.00365945538701
Italy	-586.3339877199697	67.3	247.04364375311025	833.37763147308
Japan	13.596899459484987	57.51	38.813717606352995	25.216818146868007
Kazakhstan	407.09223995124967	33.66	690.1936819233797	283.10144197213003
Kosovo	-959.9829416171242	28.25	28.3932293931598	988.376171010284
Kyrgyzstan	-229.3331957424798	9.03	282.6496560907201	511.9828518331999
Latvia	1078.452693025041	44.75	1650.72787790035	572.2751848753089
Lebanon	-62.12005021013613	18.65	313.6582416317799	375.77829184191603
Liechtenstein	-1165.8911486380557	60.01	36.59748000209015	1202.4886286401459
Lithuania	63.57203455046647	60.48	1575.5826878850994	1512.010653334633
Luxembourg	-261.96649727321665		138.78080823674338	400.74730550996003
Macao	73.360662584999		117.10366636238899	43.74300377738999
Malta	-312.1488083704708	81.4	164.11548149583405	476.26428986630486
Mauritius	1237.8399092842299		1200.3819611316849	-37.457948152544986
Mexico	-582.6654881208096	34.17	165.4570296744505	748.1225177952601
Moldova	164.81010928113005	19.16	993.80595299482	828.99584371369
Monaco	169.53441295546713		359.3117408906901	189.77732793522296
Mongolia	612.985021995734	63.87	466.136542353577	-146.84847964215697
Netherlands	152.90197561371696		541.1080845420199	388.20610892830297
New Zealand	5.520550884653915	35.34	-32.71365312213504	-38.23420400678896
North Macedonia	-1075.6431315514155		985.3739998972496	2061.017131448665
Norway	318.11526175669815	66.45	322.94544690098803	4.830185144289899
Oman	-94.32596849240906		-1.818747109150081	92.50722138325898
Paraguay	-239.18086785755503		40.0158401228	279.19670798035503
Peru	-164.54125469526025	32.14	126.8217683073899	291.36302300265015
Poland	-550.8082652062324		1030.6214778950698	1581.4297431013022
Portugal	-241.7799584044808	85.16	277.2444283852301	519.0243867897109
Puerto Rico	-188.20852217239081		90.05581551252021	278.264337684911
Qatar	9.827593972955		18.460862289475017	8.633268316520017
Romania	759.4611646353887	27.85	2280.4067300676797	1520.945565432291
Russia	341.11719732046095	28.58	2001.42178826088	1660.304590940419
San Marino	-370.47927080272007		588.0623346074599	958.54160541018
Serbia	839.5925982897252	41.98	2458.36927259611	1618.7766743063848
Singapore	260.9285609505645	79.74	245.59923720111462	-15.329323749449879
Slovakia	393.35544026997877	43.7	1290.3379718751298	896.982531605151
Slovenia	-817.7135674161457	49.03	652.85273699286	1470.5663044090056
South Africa	-96.06609347231216	13.98	290.9280364363599	386.99412990867205
South Korea	138.13808756635635	45.66	146.13338098543852	7.99529341908217
Spain	-181.88815106642005	77.97	203.85403758259008	385.74218864901013
Sweden	-135.9624391704901	64.32	108.7975099602279	244.75994913071798
Switzerland	-559.2798296918104	57.56	275.7502902302499	835.0301199220603
Taiwan	91.88007817897198	9.02	50.15299093590798	-41.727087243064005
Thailand	201.8846262955733		269.160440723202	67.2758144276287
Ukraine	847.6166028424996	12.61	1834.93516043109	987.3185575885905
United Kingdom	-0.45156580001389557	65.63	301.83508424063007	302.28665004064396
United States	-89.25759847088807	56.83	456.90211071669	546.1597091875781
Uruguay	108.11580097510898	73.98	80.627760281331	-27.488040693777975
Uzbekistan	-218.70436691201206		-44.93489390912009	173.76947300289197
