date	stringency_avg	stringency_stddv
2020-01-01	0	0
2020-01-02	0	0
2020-01-03	0	0
2020-01-04	0	0
2020-01-05	0	0
2020-01-06	0	0
2020-01-07	0	0
2020-01-08	0	0
2020-01-09	0	0
2020-01-10	0	0
2020-01-11	0	0
2020-01-12	0	0
2020-01-13	0	0
2020-01-14	0	0
2020-01-15	0	0
2020-01-16	2.0825	3.606995806762187
2020-01-17	2.0825	3.606995806762187
2020-01-18	1.19	2.914892793911982
2020-01-19	2.0825	3.606995806762187
2020-01-20	3.4725	6.014546429282927
2020-01-21	3.4725	6.014546429282927
2020-01-22	6.327777777777778	9.004059304037114
2020-01-23	11.146923076923077	13.4774514736597
2020-01-24	11.018666666666666	12.931906725442909
2020-01-25	11.892500000000002	13.30739150810556
2020-01-26	13.48058823529412	17.706534011850053
2020-01-27	12.153500000000001	17.228111990290753
2020-01-28	12.894	17.42477414487774
2020-01-29	13.194999999999999	17.166891165051616
2020-01-30	13.6488	16.58728026410599
2020-01-31	13.872499999999997	15.727701136393527
2020-02-01	14.67533333333333	15.976660838722074
2020-02-02	14.366249999999997	15.963902003817864
2020-02-03	15.320937499999998	16.413262046165404
2020-02-04	15.866666666666667	16.3264391758159
2020-02-05	15.509117647058826	16.54207974115195
2020-02-06	15.754117647058823	16.45436597124213
2020-02-07	15.573611111111111	16.32969383818219
2020-02-08	15.805277777777775	16.57163917428929
2020-02-09	15.805277777777775	16.57163917428929
2020-02-10	15.445277777777774	16.5707596362641
2020-02-11	15.445277777777774	16.5707596362641
2020-02-12	14.755641025641024	16.176534730007454
2020-02-13	15.830833333333333	16.857345971250766
2020-02-14	15.402972972972972	16.82498622381908
2020-02-15	15.452972972972972	16.916467247460524
2020-02-16	15.452972972972972	16.916467247460524
2020-02-17	15.411842105263156	16.83570154780157
2020-02-18	15.411842105263156	16.83570154780157
2020-02-19	15.016666666666666	16.796051632075628
2020-02-20	15.335749999999999	16.599711426332085
2020-02-21	15.707073170731706	16.997042819396615
2020-02-22	16.136097560975607	17.108472851413566
2020-02-23	16.512380952380948	18.53880779152386
2020-02-24	16.531458333333333	17.744967008232614
2020-02-25	16.700740740740745	17.951950874265556
2020-02-26	16.666666666666668	17.16529159541298
2020-02-27	17.030983606557374	17.05953535631911
2020-02-28	16.70863636363636	16.61312942683037
2020-02-29	17.29901408450704	16.290068447182353
2020-03-01	17.490259740259738	16.103368525082352
2020-03-02	18.1535	16.105209879104343
2020-03-03	18.222650602409633	16.129467987277824
2020-03-04	18.1491011235955	15.857644854000759
2020-03-05	19.56010869565217	16.14148762705198
2020-03-06	19.91666666666666	16.25760105056068
2020-03-07	20.134199999999996	16.158601002562076
2020-03-08	20.51730769230769	16.543312861811778
2020-03-09	21.689150943396232	16.325301876368922
2020-03-10	24.72953703703703	17.01604272358443
2020-03-11	26.44561403508772	18.107652207909503
2020-03-12	30.290341880341867	17.67895605126629
2020-03-13	34.36073170731707	19.27504921469287
2020-03-14	36.96368421052632	18.983253105215343
2020-03-15	39.40890510948905	20.36258604598264
2020-03-16	46.56070422535212	20.080173938976714
2020-03-17	49.79275862068967	20.664777779252166
2020-03-18	53.61993288590604	21.276257224239547
2020-03-19	56.749025974025955	20.61993329405489
2020-03-20	58.56906832298135	20.934366372194546
2020-03-21	61.12791411042944	20.969086315935137
2020-03-22	62.12568862275448	22.118273380627386
2020-03-23	65.57255952380949	21.128963899648447
2020-03-24	67.52199999999996	20.909933794589538
